id,name,network_level,source,lat,lon,coord_source,coord_quality,voltage_in_kv,voltage_out_kv,voltage_levels,voltage_source,capacity_available_mw,capacity_reserved_mw,capacity_total_mw,operator,commune,departement,region,function,substation_type,osm_id,osm_match_score,osm_match_distance_m,source_id,code_insee,capacity_source,last_updated,notes
RTE_COULE,COULEUVRE,TX,RTE_ODRE,46.6758298,2.895001,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Allier,,Poste de transformation,distribution,way_81970859,1.0,,COULE,,MISSING,2025-12-13T03:11:38.853911,
RTE_COUTR,COUTRAS,TX,RTE_ODRE,45.0228406,-0.1484357,OSM,EXACT,90.0,,90kV,OFFICIAL,,,,RTE,,Gironde,,Poste de transformation,traction,way_491416977,1.0,,COUTR,,MISSING,2025-12-13T03:11:38.853914,
RTE_CREZA,CREZANCY,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Aisne,,Poste de transformation,,,,,CREZA,,MISSING,2025-12-13T03:11:38.853917,
RTE_CUBRY,CUBRY (LE),TX,RTE_ODRE,,,MISSING,MISSING,90.0,,90kV,OFFICIAL,,,,RTE,,Marne,,Poste de transformation,,,,,CUBRY,,MISSING,2025-12-13T03:11:38.853921,
RTE_DAMVI,DAMVILLE,TX,RTE_ODRE,,,MISSING,MISSING,90.0,,90kV,OFFICIAL,,,,RTE,,Eure,,Poste de transformation,,,,,DAMVI,,MISSING,2025-12-13T03:11:38.853924,
RTE_DENFE,DENFERT,TX,RTE_ODRE,48.8326957,2.334378,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Paris,,Poste de transformation,traction,way_79626470,0.9,,DENFE,,MISSING,2025-12-13T03:11:38.853928,
RTE_DIEP5,DIEPPEDALLE (ENEDIS),TX,RTE_ODRE,49.4198523,1.0166007,OSM,EXACT,90.0,,90kV,OFFICIAL,,,,RTE,,Seine-Maritime,,Poste de transformation,,way_163810330,1.0,,DIEP5,,MISSING,2025-12-13T03:11:38.853931,
RTE_DIEUZ,DIEUZE,TX,RTE_ODRE,48.8181758,6.7036504,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Moselle,,Poste de transformation,distribution,way_185542492,1.0,,DIEUZ,,MISSING,2025-12-13T03:11:38.853934,
RTE_DONZA,DONZAC,TX,RTE_ODRE,44.1025367,0.822659,OSM,EXACT,400.0,,400kV,OFFICIAL,,,,RTE,,Lot-et-Garonne,,Poste de transformation,transmission,way_105913465,1.0,,DONZA,,MISSING,2025-12-13T03:11:38.853937,
RTE_DOUDO,DOUDOYE,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Nièvre,,Poste de transformation,,,,,DOUDO,,MISSING,2025-12-13T03:11:38.853940,
